open,high,low,close,volume,date
238.32,238.32,238.32,238.32,238.0,2005-01-03 05:45:00
235.68,235.68,235.68,235.68,236.0,2005-01-04 05:45:00
234.93,234.93,234.93,234.93,235.0,2005-01-05 05:45:00
235.16,235.16,235.16,235.16,235.0,2005-01-06 05:45:00
235.61,235.61,235.61,235.61,236.0,2005-01-07 05:45:00
236.04,236.04,236.04,236.04,236.0,2005-01-10 05:45:00
237.68,237.68,237.68,237.68,238.0,2005-01-12 05:45:00
239.61,239.61,239.61,239.61,240.0,2005-01-13 05:45:00
239.94,239.94,239.94,239.94,240.0,2005-01-14 05:45:00
239.89,239.89,239.89,239.89,240.0,2005-01-17 05:45:00
240.01,240.01,240.01,240.01,240.0,2005-01-18 05:45:00
240.34,240.34,240.34,240.34,240.0,2005-01-19 05:45:00
240.72,240.72,240.72,240.72,241.0,2005-01-20 05:45:00
242.11,242.11,242.11,242.11,242.0,2005-01-21 05:45:00
243.76,243.76,243.76,243.76,244.0,2005-01-24 05:45:00
245.25,245.25,245.25,245.25,245.0,2005-01-25 05:45:00
246.85,246.85,246.85,246.85,247.0,2005-01-26 05:45:00
247.17,247.17,247.17,247.17,247.0,2005-01-27 05:45:00
246.98,246.98,246.98,246.98,247.0,2005-01-28 05:45:00
247.41,247.41,247.41,247.41,247.0,2005-01-31 05:45:00
247.25,247.25,247.25,247.25,247.0,2005-02-01 05:45:00
246.94,246.94,246.94,246.94,247.0,2005-02-02 05:45:00
248.03,248.03,248.03,248.03,248.0,2005-02-03 05:45:00
250.76,250.76,250.76,250.76,251.0,2005-02-04 05:45:00
251.02,251.02,251.02,251.02,251.0,2005-02-07 05:45:00
251.68,251.68,251.68,251.68,252.0,2005-02-08 05:45:00
251.88,251.88,251.88,251.88,252.0,2005-02-09 05:45:00
253.94,253.94,253.94,253.94,254.0,2005-02-10 05:45:00
257.29,257.29,257.29,257.29,257.0,2005-02-11 05:45:00
259.05,259.05,259.05,259.05,259.0,2005-02-14 05:45:00
264.73,264.73,264.73,264.73,265.0,2005-02-15 05:45:00
267.14,267.14,267.14,267.14,267.0,2005-02-16 05:45:00
265.74,265.74,265.74,265.74,266.0,2005-02-17 05:45:00
